Rk_x,player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_y,Player,Tm,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,Guaranteed
139,Ty Jerome,27,CLE,SG,67,2,19.7,4.4,8.6,.509,1.5,3.6,.431,2.9,5.1,.563,.598,1.9,2.1,.868,0.7,1.8,2.5,3.3,1.1,0.0,1.3,1.5,12.2,327,Ty Jerome,CLE,"$2,560,975",,,,,,"$2,560,975"
145,Caris LeVert,30,2TM,SG,59,3,24.9,4.2,9.2,.462,1.6,4.4,.369,2.6,4.8,.548,.551,1.6,2.3,.708,0.6,2.5,3.1,3.3,0.9,0.5,1.2,1.5,11.7,104,Caris LeVert,ATL,"$16,615,384",,,,,,"$16,615,384"
145,Caris LeVert,30,CLE,SF,38,3,23.8,3.6,7.8,.453,1.6,3.9,.405,2.0,3.9,.500,.554,1.5,2.2,.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,104,Caris LeVert,ATL,"$16,615,384",,,,,,"$16,615,384"
145,Caris LeVert,30,ATL,SG,21,0,26.9,5.5,11.6,.473,1.7,5.3,.321,3.8,6.2,.603,.547,1.9,2.6,.722,0.7,2.9,3.5,2.7,0.9,0.6,1.0,2.0,14.5,104,Caris LeVert,ATL,"$16,615,384",,,,,,"$16,615,384"
155,Spencer Dinwiddie,31,DAL,PG,75,28,26.8,3.7,8.6,.423,1.4,4.1,.338,2.3,4.5,.501,.504,2.4,3.0,.797,0.2,2.4,2.6,4.3,0.9,0.2,1.3,1.5,11.1,396,Spencer Dinwiddie,DAL,"$2,087,519",,,,,,"$2,087,519"
159,Gary Trent Jr.,26,MIL,SG,68,8,25.5,3.8,8.8,.434,2.4,5.8,.419,1.4,3.0,.461,.571,1.0,1.1,.870,0.3,2.0,2.3,1.1,1.0,0.1,0.6,1.7,11.0,387,Gary Trent Jr.,MIL,"$2,087,519",,,,,,"$2,087,519"
161,Tim Hardaway Jr.,32,DET,SG,71,71,27.9,3.6,8.7,.408,2.2,5.8,.370,1.4,2.9,.485,.531,1.6,1.9,.846,0.3,2.2,2.4,1.6,0.5,0.1,0.6,1.3,10.9,106,Tim Hardaway Jr.,DET,"$16,193,183",,,,,,"$16,193,183"
164,Brandon Boston Jr.,23,NOP,SG,42,10,23.6,4.0,9.1,.436,1.2,3.3,.350,2.8,5.7,.485,.500,1.6,2.0,.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7,,,,,,,,,,
166,Guerschon Yabusele,29,PHI,C,68,41,26.8,3.9,7.8,.499,1.5,3.8,.383,2.4,4.0,.610,.593,1.4,1.9,.720,1.9,3.8,5.7,2.1,0.8,0.4,1.3,2.4,10.7,381,Guerschon Yabusele,PHI,"$2,087,519",,,,,,"$2,087,519"
172,Tyus Jones,28,PHO,PG,75,57,27.5,3.8,8.5,.450,2.1,5.0,.418,1.7,3.5,.496,.573,0.7,0.7,.891,0.5,1.9,2.4,5.5,0.8,0.1,1.2,0.8,10.4,376,Tyus Jones,PHO,"$2,087,519",,,,,,"$2,087,519"
